PE_Ratio,PB_Ratio,Debt_to_Equity,Current_Ratio,ROE,ROA,Profit_Margin,Quick_Ratio,Revenue_Growth,Beta,Altman_Z,Ticker,Market_Cap
34.75,51.760323,1.54486,0.868,0.0149814,0.24545999,0.24295999,0.724,0.096,1.165,2044.3029805762,AAPL,3403645714432
38.160816,11.298589,0.32661,1.353,0.33280998,0.14203,0.36146,1.223,0.181,1.055,2331.1668857528,MSFT,3880411987968
21.496265,6.717807,0.11481,1.904,0.34829,0.16792,0.31118,1.72,0.138,1.014,1467.7597246367998,GOOGL,2440203337728
33.946648,7.112197,0.47808,1.024,0.2477,0.07699,0.105399996,0.768,0.133,1.314,1426.9149134151999,AMZN,2374966444032
196.22025,13.746299,0.16823,2.037,0.08177,0.02911,0.063439995,1.359,-0.118,2.331,640.6801196446,TSLA,1063269564416
27.8934,9.922355,0.25406,1.973,0.40647998,0.18465,0.39992002,1.706,0.216,1.273,1163.4994983872,META,1932589268992
51.5811,20.633844,0.67866,1.341,0.43548,0.15049,0.24579,1.115,0.159,1.589,311.87570076,NFLX,514857369600
58.557693,53.14136,0.12267,3.388,0.0115463,0.53244996,0.51694,2.857,0.692,2.145,2679.724418936,NVDA,4455614382080
14.800615,2.3569937,0.1362048134236284,2.4080859155707266,0.16211,0.012999999,0.34524,0.8488908505073838,-0.106,1.107,479.9155116169848,JPM,794017857536
13.492668,1.2392598,0.2685978583883092,2.829834369055206,0.0946,0.00838,0.28514,1.4423104763956114,0.042,1.315,208.31728740286627,BAC,340793753600
44.329063,9.88658,0.7578,0.78,0.21783,0.07151,0.02747,0.185,0.025,0.664,498.18981834079995,WMT,827809005568
23.580643,7.0169578,0.6986100000000001,0.704,0.31242,0.10909,0.18952999,0.437,0.017,0.373,217.5780488908,PG,359577223168
18.537968,5.316056,0.6468600000000001,1.006,0.30212,0.0761,0.25004998,0.678,0.058,0.399,252.5938967672,JNJ,417437581312
32.920822,17.197569,0.6501699999999999,1.115,0.51755,0.17049,0.52158,0.781,0.143,0.94,395.3486236143999,V,653669761024
38.753036,66.2575,2.40919,1.163,0.017694701,0.23677999,0.44926,0.712,0.168,1.029,314.1663162188,MA,519192182784
17.622257,1.8510957,0.37152,0.722,0.1146,0.04524,0.12219,0.569,0.021,1.565,122.58308400959999,DIS,202141270016
24.943262,10.591778,1.66367,1.213,0.42369998,0.08941,0.25887,0.841,0.014,0.437,184.2347767,KO,302720122880
26.498177,10.801101,2.76868,0.775,0.39859,0.08514,0.08229,0.559,0.01,0.457,121.13375464639999,PEP,198804127744
